latitud,longitud
40.7156449097173,-73.9808096971768
40.7392528900457,-73.9823287610015
40.675159,-73.958501
40.7732937,-73.934466
40.684979,-73.967922
40.7796871,-73.952595
40.777905,-73.982299
40.768211,-73.989479
40.61517985216326,-74.0319846196921
40.743832,-74.006578
40.7362174,-73.98666508
40.74709,-73.98667
40.741421,-74.003186
40.741065,-73.975788
40.714463,-74.01098
40.761212,-73.857765
40.716133,-74.01556
40.754038,-73.919413
40.754044,-73.919245
40.714376,-73.826095
40.6986246,-73.9786207
40.7654021,-73.8890281
40.592503,-73.762802
40.592562,-73.762059
40.716079,-74.002165
40.57978,-73.97439
40.757564,-73.728618
40.70983,-73.95767
40.77081,-73.99214
40.600894,-74.063265
40.7449626,-73.9568845
40.77292688873804,-73.95955810985014
40.761376,-73.985273
40.75717,-73.76397
40.626403,-73.977822
40.744127,-73.95684
40.744152,-73.956666
40.6449449,-73.9914684
40.747434,-74.000085
40.747486,-74.000069
40.847563,-73.934481
40.847958,-73.935109
40.760345,-73.85546
40.76038,-73.85531
40.760345,-73.85537
40.76033,-73.855286
40.772896,-73.992546
40.772916,-73.99263
40.66,-73.94
40.75402,-73.9493
40.581652,-73.985056
40.5815,-73.8388
40.618364,-73.945066
40.682176,-73.96585
40.681764,-73.965799
40.682163,-73.966003
40.682187,-73.965853
40.682187,-73.965917
40.618355,-73.945087
40.77533,-73.95108
40.7012,-73.9357
40.713898,-74.00434
40.883002,-73.880698
40.673563,-73.926284
40.673561,-73.926135
40.673561,-73.926143
40.673237,-73.925718
40.673186,-73.925637
40.673563,-73.926362
40.673181,-73.926415
40.673233,-73.925648
40.6732,-73.925696
40.8732909,-73.884626
40.874265,-73.852887
40.673435,-73.926002
40.759299,-73.968603
40.77349758816229,-73.98137367362845
40.769469,-73.865366
40.769509,-73.865421
40.76947,-73.865591
40.769452,-73.8655
40.769481,-73.865372
40.760611,-73.85697
